"","egoID","from.alter","alt.alt.tie","egoalt_relation","egoalt_relate_othr","alter.initial","to.alter"
"4447",2030,"203001",0,"1","","my mom","203006"
"4448",2031,"203101",NA,"8","academic","dl","203106"
"4449",2033,"203301",NA,"1","","bl","203306"
"4450",2034,"203401",NA,"1","","sh","203406"
"4451",2035,"203501",4,"1","","rm","203506"
"4452",2036,"203601",NA,"1","","em","203606"
"4453",2037,"203701",0,"8","academic","as","203706"
"4454",2038,"203801",NA,"1","","tj","203806"
"4455",2039,"203901",9,"6","","kc","203906"
"4456",2041,"204101",NA,"1","","vr","204106"
"4457",2043,"204301",NA,"6","","gc","204306"
"4458",2044,"204401",NA,"1","","vr","204406"
"4459",2045,"204501",5,"1","","md","204506"
"4460",2047,"204701",0,"1","","vf","204706"
"4461",2048,"204801",NA,"3","","em","204806"
"4462",2049,"204901",8,"1","","le","204906"
"4463",2051,"205101",2,"5","","vg","205106"
"4464",2052,"205201",NA,"7","","no","205206"
"4465",2053,"205301",NA,"1","","em","205306"
"4466",2054,"205401",NA,"1","","ls","205406"
"4467",2055,"205501",NA,"1","","t.r.","205506"
"4468",2059,"205901",NA,"8","academic","rh","205906"
"4469",2061,"206101",NA,"1","","af","206106"
"4470",2064,"206401",NA,"3","","lf","206406"
"4471",2080,"208001",9,"1","","mom","208006"
"4472",2081,"208101",NA,"1","","mom","208106"
"4473",2082,"208201",0,"6","","rg","208206"
"4474",2084,"208401",10,"1","","bf","208406"
"4475",2085,"208501",NA,"1","","lr","208506"
"4476",2086,"208601",NA,"8","academic","ll","208606"
"4477",2087,"208701",NA,"1","","cr","208706"
"4478",2088,"208801",-6,"1","","kh","208806"
"4479",2089,"208901",10,"3","","af","208906"
"4480",2090,"209001",10,"5","","ck","209006"
"4481",2092,"209201",5,"1","","ab","209206"
"4482",2093,"209301",NA,"1","","st","209306"
"4483",2094,"209401",3,"1","","sj","209406"
"4484",2095,"209501",NA,"1","","cj","209506"
"4485",2096,"209601",NA,"1","","df","209606"
"4486",2097,"209701",8,"1","","hf","209706"
"4487",2098,"209801",8,"1","","gn","209806"
